model,test,loss,accuracy,f1,matthews_correlation,precision,recall,runtime,samples_per_second,steps_per_second,epoch
dnabert2_OG,EMP_H3K36me3,0.4724179208278656,0.7930045871559633,0.7885187200623442,0.5787269264136121,0.7921448641219839,0.786608542959273,3.6105,966.062,60.379,3.0
dnabert2_OG,EMP_H3K4me2,0.6026812195777893,0.6757901596611274,0.6554309884233622,0.3186245245320499,0.6655017980349036,0.6533542064779629,3.1559,972.454,60.838,3.0
dnabert2_OG,EMP_H4ac,0.5467163920402527,0.7378299120234604,0.7368318370165746,0.4736764268215369,0.7367523580224541,0.7369240999335043,3.5199,968.781,60.797,3.0
dnabert2_OG,EMP_H3,0.33452141284942627,0.8804275217100869,0.8802717313355611,0.7640857357864752,0.8832825480783051,0.8808071973010121,1.5754,950.222,59.667,3.0
dnabert2_OG,EMP_H4,0.2674757242202759,0.9007529089664613,0.8992232131261713,0.7985930034016631,0.90018652802307,0.8984084548226743,1.5534,940.491,59.223,3.0
dnabert2_OG,prom_prom_core_tata,0.31447044014930725,0.8809135399673735,0.8807866392802817,0.7645139616648106,0.8832783937668565,0.881238289899506,0.4607,1330.706,84.662,10.0
dnabert2_OG,EMP_H3K79me3,0.42860308289527893,0.8155339805825242,0.8138537655385945,0.6299451351097658,0.8172032590991669,0.8127575630649497,3.017,955.919,59.994,3.0
dnabert2_OG,EMP_H3K14ac,0.49514251947402954,0.7658093797276854,0.7640048843563321,0.5335862473046901,0.7639809050949797,0.769635301093333,3.4351,962.137,60.261,3.0
dnabert2_OG,prom_prom_core_all,0.39432966709136963,0.8361486486486487,0.8359936385272833,0.673862913113016,0.8376264970488797,0.8362378468798165,4.3395,1364.221,85.264,4.0
dnabert2_OG,prom_prom_core_notata,0.3672916889190674,0.8483135481439608,0.8482048714676635,0.6978227488768454,0.8494509286245677,0.8483726533269556,3.8748,1369.637,85.683,4.0
dnabert2_OG,tf_4,0.2986234128475189,0.876,0.8756637949014133,0.7561001062031496,0.8801112836438922,0.876,0.2512,3981.573,63.705,3.0
dnabert2_OG,prom_prom_300_notata,0.10417205840349197,0.9681552666289805,0.9681522089785912,0.936306137044275,0.9681444241965426,0.9681617130073505,4.5426,1168.264,73.085,4.0
dnabert2_OG,tf_2,0.4216310679912567,0.818,0.8172976923293138,0.6409466868541137,0.8229659240481646,0.8180000000000001,0.2527,3957.1,63.314,3.0
dnabert2_OG,mouse_2,0.2443026602268219,0.899390243902439,0.8993893087197792,0.7987953376480263,0.8994050938836216,0.899390243902439,0.0973,3372.106,61.685,12.2
dnabert2_OG,EMP_H3K4me3,0.5858798623085022,0.685054347826087,0.6838084610771753,0.38841415219426817,0.697262996941896,0.6911984963774398,3.8266,961.701,60.106,3.0
dnabert2,EMP_H3K9ac,0.48477447032928467,0.7747391147894926,0.7741577263805083,0.5528596463468209,0.7749115601158135,0.7779564711920148,2.8967,959.355,15.189,3.0
dnabert2,EMP_H3K4me1,0.5398554801940918,0.7534722222222222,0.7491255367009944,0.5003581074841105,0.7526701690522515,0.7477124987331876,3.177,997.176,15.738,3.0
dnabert2,mouse_1,0.16700215637683868,0.9334321719792439,0.933426547004792,0.8670058197415215,0.9335750020184743,0.93343082971008,1.6438,4103.395,16.426,2.3696682464454977
dnabert2,mouse_4,0.5280600786209106,0.7397769516728625,0.7379552632176858,0.4864983667153631,0.74672591966723,0.7398214394498331,0.4948,3805.889,16.169,8.474576271186441
dnabert2,prom_prom_300_tata,0.5122821927070618,0.7928221859706363,0.7878332011566144,0.6020287926949505,0.8133368732108228,0.7891765207201449,0.5696,1076.166,17.556,10.0
dnabert2,Cancer2,0.5750381350517273,0.7289293849658315,0.7247648902821318,0.4715251577977107,0.7430932521293967,0.7286529680365297,0.556,789.55,12.59,3.0
dnabert2,prom_prom_300_all,0.18035107851028442,0.9314189189189189,0.9314070112838024,0.8628908040391599,0.9315184016507434,0.9313724147377072,5.3792,1100.537,17.289,4.0
dnabert2,tf_3,0.4434989094734192,0.798,0.7978415077420697,0.5969367317697949,0.7989374678993324,0.798,0.2524,3962.629,15.851,3.0
dnabert2,tf_0,0.35262414813041687,0.858,0.8575206996335674,0.7208664153077167,0.8628829530157803,0.8580000000000001,0.2524,3962.386,15.85,3.0
dnabert2,Cancer,0.6171519756317139,0.6378132118451025,0.6144805227083183,0.3148561878397769,0.6805646570554827,0.6372561228725613,0.5209,842.732,13.438,3.0
dnabert2,mouse_3,0.39059174060821533,0.8870292887029289,0.887021377173171,0.7740738165911705,0.8870640145678667,0.8870098039215686,0.0699,3416.826,14.296,66.66666666666667
dnabert2,tf_1,0.3569023907184601,0.818,0.8143614851081191,0.6625,0.8450520833333333,0.8180000000000001,0.2558,3909.934,15.64,3.0
dnabert2,mouse_0,0.5153514742851257,0.7864197530864198,0.7862161028261946,0.5739340073545404,0.7875152998776009,0.7864197530864198,0.2484,3260.278,16.1,19.607843137254903
dnabert2,EMP_H3K36me3,0.4671597182750702,0.7964449541284404,0.7908598116887043,0.585856800334827,0.7978900174706663,0.7880494229152539,3.5818,973.824,15.356,3.0
dnabert2,EMP_H3K4me2,0.606039822101593,0.6842619745845552,0.651267381011712,0.33197300680644537,0.6827023636330884,0.6508000157423157,3.1568,972.194,15.205,3.0
dnabert2,EMP_H4ac,0.5658929347991943,0.7290322580645161,0.7267150434225098,0.4545507905286996,0.728442955263978,0.7261138026028309,3.4145,998.694,15.815,3.0
dnabert2,EMP_H3,0.29701948165893555,0.8817635270541082,0.8814893831136159,0.768705841476224,0.8864697070872962,0.8822477285303725,1.5266,980.622,15.721,3.0
dnabert2,EMP_H4,0.2778247594833374,0.9062286105407256,0.904545552092747,0.8097303813738989,0.90689367496452,0.9028468189982873,1.5655,933.222,14.691,3.0
dnabert2,prom_prom_core_tata,0.3129522502422333,0.8776508972267537,0.8775453128953643,0.757568875851658,0.8796219071448429,0.8779488162152955,0.5827,1051.94,17.161,10.0
dnabert2,EMP_H3K79me3,0.4379134476184845,0.819001386962552,0.818161525974026,0.6364785809117841,0.8186615186615187,0.8178176217048818,2.9879,965.224,15.395,3.0
dnabert2,EMP_H3K14ac,0.5095385313034058,0.7597579425113464,0.7582734398777298,0.5238751519896616,0.7590896738931396,0.764816782108986,3.4387,961.107,15.122,3.0
dnabert2,prom_prom_core_all,0.3831329345703125,0.839527027027027,0.8395239316499783,0.6790526544089975,0.8395313650660018,0.839521289417746,5.4851,1079.291,16.955,4.0
