model,test,loss,accuracy,f1,matthews_correlation,precision,recall,runtime,samples_per_second,steps_per_second,epoch
nt_500_1000g,tf_3,0.566705584526062,0.721,0.7207316230897893,0.4428519810497046,0.7218528021715473,0.721,1.1088,901.897,3.608,3.0
nt_500_1000g,prom_prom_300_notata,0.13373824954032898,0.9579800263802525,0.9579773943954164,0.9159700970667175,0.9579645584074719,0.9580055395760094,23.5445,225.403,3.525,4.0
nt_500_1000g,prom_prom_core_notata,0.3961502015590668,0.8298473713962691,0.8297002197554768,0.6606420582036372,0.8308529051870993,0.8297900080556373,23.5882,224.985,3.519,4.0
nt_500_1000g,EMP_H3K14ac,0.5802899599075317,0.6901664145234493,0.676846194860889,0.35818296800903754,0.6833791208791209,0.6749040975285462,14.6821,225.104,3.542,3.0
nt_500_1000g,EMP_H4,0.30309903621673584,0.891170431211499,0.8894930406004221,0.7791310454705567,0.8904338588413901,0.8886991178335846,6.5005,224.752,3.538,3.0
nt_500_1000g,EMP_H3K4me1,0.6051232218742371,0.6830808080808081,0.6705434883937726,0.35558397910967887,0.6852637867069107,0.6706215343631915,14.1433,223.993,3.535,3.0
nt_500_1000g,prom_prom_core_tata,0.4261000156402588,0.8270799347471451,0.8252339967724582,0.665668531140676,0.8395028909417159,0.8262966274910577,2.7853,220.083,3.59,10.0
nt_500_1000g,tf_2,0.498507559299469,0.762,0.7614503816793893,0.5264314108787543,0.7644370518700342,0.762,1.1741,851.74,3.407,3.0
nt_500_1000g,EMP_H3K79me3,0.4769614338874817,0.7839805825242718,0.7839450212581951,0.5711326060308111,0.785232926767622,0.7859000689086757,13.0357,221.238,3.529,3.0
nt_500_1000g,tf_4,0.41966119408607483,0.814,0.8128614490560571,0.6357838668175161,0.821832106134899,0.8140000000000001,1.1758,850.461,3.402,3.0
nt_500_1000g,virus_covid,1.6266180276870728,0.4041230366492147,0.4094146040403061,0.32727082025770005,0.42055833766218603,0.4051061349748021,162.2917,56.491,3.531,3.0
nt2_500_multi,splice_reconstructed,0.16033603250980377,0.9451994739149496,0.9414644032861988,0.9062330255710461,0.9430194183492643,0.9399779602029726,16.4996,276.491,17.334,5.0
nt2_500_multi,EMP_H3K4me1,0.5109293460845947,0.7702020202020202,0.7658067715773608,0.5344487094246019,0.7704052050732992,0.7640809215638016,13.5914,233.088,14.568,3.0
nt2_500_multi,mouse_4,0.5293449759483337,0.7302177376526819,0.7298336349730332,0.4616919675315857,0.7314958727191043,0.7301979192754693,2.147,877.024,13.973,2.12
nt2_500_multi,mouse_2,0.34693577885627747,0.8567073170731707,0.8563213570063843,0.717278654635376,0.8605818017814861,0.8567073170731707,0.4409,743.868,13.607,12.2
nt2_500_multi,EMP_H3K14ac,0.48163703083992004,0.7736762481089259,0.771833688730847,0.5488578183935507,0.7715756184074601,0.7773121778919724,14.2002,232.744,14.577,3.0
nt2_500_multi,prom_prom_core_tata,0.261434942483902,0.8907014681892332,0.8905605073477492,0.7845915649249318,0.8935420282402349,0.8910534832226197,1.9199,319.281,20.313,10.0
nt2_500_multi,tf_3,0.45987850427627563,0.773,0.7720368557153975,0.5506730145885423,0.777693011901129,0.7729999999999999,1.1301,884.844,14.158,3.0
nt2_500_multi,mouse_3,0.5032771825790405,0.8451882845188284,0.843033885368408,0.708433411968128,0.8639825495415557,0.8447128851540616,0.2937,813.738,13.619,16.67
nt2_500_multi,EMP_H4,0.26522794365882874,0.9062286105407256,0.9046837387049538,0.8096831688629033,0.9062067502160099,0.9034810066494765,6.3112,231.493,14.577,3.0
